0,2,2,5
0.095,4.39001,1.75875,5.09906
0.19,5.00265,1.53673,5.10294
0.285,4.98886,1.34252,5.10289
0.38,4.98137,1.17262,5.10291
0.475,4.98155,1.02396,5.10292
0.57,4.98165,0.893842,5.10294
0.665,4.98164,0.77991,5.10295
0.76,4.98164,0.6801,5.10297
0.855,4.98164,0.592604,5.10299
0.95,4.98164,0.515838,5.103
1.045,4.98164,0.44841,5.10302
1.14,4.98164,0.3891,5.10303
1.235,4.98165,0.336834,5.10305
1.33,4.98164,0.290666,5.10307
1.425,4.98145,0.249761,5.10308
1.52,4.98204,0.213376,5.1031
1.615,4.99702,0.180855,5.10311
1.71,4.94684,0.151608,5.10297
1.805,3.7408,0.125104,5.11969
1.9,0.1,0.1,5.32537
